Long,Lat,Mag_nT,Easting,Northing,Heading,Dir
-116.59858419423064,36.77664684197116,14.206931014972724,535820.680290106,4070170.6708378773,177.88123220727488,NS
-116.5985849950868,36.77666648540229,13.886267689716988,535820.5996845863,4070172.8495809827,177.90596810440016,NS
-116.59858578799324,36.77668619353878,13.566195425481055,535820.5197583954,4070175.0355048287,177.97081235918446,NS
-116.59858655250444,36.77670588517465,13.34597337197738,535820.4423737966,4070177.2196089,178.10090708355574,NS
-116.59858726332844,36.77672563080679,13.226246005249777,535820.3697549446,4070179.4097228707,178.26420860255934,NS
-116.59858790182652,36.77674530514485,13.005869891667317,535820.3036233804,4070181.591955282,178.45237171431413,NS
-116.5985884603632,36.77676499378433,12.68562682636366,535820.2446206333,4070183.775804083,178.6407292140369,NS
-116.59858893705048,36.776784626708334,12.564877553419137,535820.1929477523,4070185.9535030187,178.84275083972832,NS
-116.59858932939228,36.77680434683769,12.644927139239371,535820.1487609734,4070188.140907209,178.99960072957506,NS
-116.59858965483572,36.776824080591375,12.325103188593857,535820.1105376149,4070190.329847791,179.1358753248843,NS
-116.59858992276008,36.77684387605552,11.80584447997353,535820.0774183264,4070192.5256554424,179.24697520972742,NS
-116.59859014168283,36.77686355636995,11.185535866379723,535820.0487253355,4070194.708707904,179.32664947343946,NS
-116.59859032595608,36.77688316993552,10.764618846353187,535820.0231553906,4070196.884368897,179.341584911408,NS
-116.59859050325193,36.776902714993646,11.043076510270112,535819.9982399612,4070199.0524329892,179.30076554444224,NS
-116.5985906963039,36.77692210391417,11.120108019384134,535819.9719911745,4070201.2031708704,179.21658988363444,NS
-116.59859092479142,36.776941494768415,10.79715609381492,535819.942579366,4070203.3541100025,179.0899392801948,NS
-116.59859120578076,36.7769608314315,10.273707739490419,535819.9085077334,4070205.4990180717,178.95843448205082,NS
-116.59859154277564,36.776980215578696,9.950691230891607,535819.8694163107,4070207.6491725915,178.81388040178487,NS
-116.59859193925504,36.77699953520232,9.82708373461901,535819.8250467699,4070209.792147261,178.67218915960768,NS
-116.5985923962198,36.777018900357646,9.70389011896441,535819.7752585968,4070211.9401501245,178.5164524024021,NS
-116.59859292119216,36.777038359926365,9.58155648373031,535819.719357793,4070214.0986008034,178.3876319744445,NS
-116.59859350279244,36.777057893758126,9.559899189784119,535819.6583692197,4070216.265268284,178.27394347235037,NS
-116.59859413499711,36.7770775017627,9.73891759842627,535819.5928304334,4070218.440144807,178.18482830410846,NS
-116.59859480703317,36.777097165138485,9.71844036737275,535819.5237115268,4070220.621148752,178.14561747995344,NS
-116.59859549685147,36.77711685822565,9.198233879351392,535819.4529920076,4070222.8054419267,178.18920174882862,NS
-116.59859616799264,36.777136550113184,8.878017013781573,535819.3839397432,4070224.9896090254,178.2712555675027,NS
-116.59859680362726,36.777156228844746,8.757681117391257,535819.3180620767,4070227.172330031,178.35877849326522,NS
-116.59859740117582,36.77717588474784,8.737137951486147,535819.2555936904,4070229.3525329405,178.46433710089377,NS
-116.59859795245865,36.77719549709518,8.916198510391041,535819.1972741464,4070231.5279215425,178.56682981669002,NS
-116.5985984593086,36.77721507853219,8.594978200801052,535819.1429339986,4070233.699897902,178.68814358191779,NS
-116.59859891376156,36.77723462395713,8.273430685052517,535819.0932863044,4070235.867899067,178.81948516346745,NS
-116.59859931195864,36.77725414284264,7.8516425754478405,535819.0486709991,4070238.032977281,178.9321564162793,NS
-116.5985996622146,36.77727364976708,7.42974672875971,535819.0083393242,4070240.1967466082,178.96482097158847,NS
-116.5985999988585,36.77729316917,7.407965240976409,535818.9692165342,4070242.3619052707,178.9440409578965,NS
-116.5986003444524,36.777312696923154,7.1862597230338,535818.9292912118,4070244.5279868827,178.89153608848525,NS
-116.598600712388,36.777332229526245,6.864597801291893,535818.8873699729,4070246.69459814,178.82170348391975,NS
