Long,Lat,Mag_nT,Easting,Northing,Heading,Dir,Dist
-116.6098842490047,36.767583665981824,48197.8,534816.4037427788,4069161.1250909353,182.98116261032953,NS,40.30223013479163
-116.60988572157656,36.76756871426272,48199.4,534816.2790802849,4069159.465966523,184.2969884990253,NS,1.6638012357995702
-116.6098873699167,36.76755255125049,48202.4,534816.1392786134,4069157.672409875,184.45700027885547,NS,1.798996931080651
-116.60988892835582,36.767535298485726,48201.8,534816.0079929353,4069155.7580000814,183.92306629430732,NS,1.9189061432312
-116.60989013915685,36.76751711165024,48199.0,534815.9081550727,4069153.7401006166,182.83246393636313,NS,2.02036775090579
-116.6098908620313,36.76749806334786,48196.7,534815.8522525255,4069151.626816423,181.5152875507334,NS,2.114023457071434
-116.60989107945092,36.76747844298991,48194.7,534815.8417188241,4069149.4502581684,180.27728728113956,NS,2.1765837441264475
-116.60989081695512,36.76745839224123,48192.6,534815.8742106418,4069147.226131393,179.16303709559122,NS,2.224364095815074
-116.60989010172509,36.76743806159924,48189.5,534815.9472341351,4069144.971120835,178.14525196452186,NS,2.256192600063479
-116.60988903431956,36.76741745618397,48185.8,534816.0518124613,4069142.685757882,177.37996992912798,NS,2.2877544563600916
-116.60988771680466,36.76739673463622,48182.7,534816.1787648399,4069140.3876033756,176.83813681105926,NS,2.301658324241848
-116.60988621765028,36.767375959056224,48180.5,534816.3219524787,4069138.08352117,176.44391577821952,NS,2.3085271299479295
-116.6098846167891,36.767355198011366,48178.0,534816.4742106417,4069135.7810883466,176.21658153878482,NS,2.3074616908497414
-116.60988300348905,36.767334495333365,48175.4,534816.6275526235,4069133.4851346724,176.1790083718233,NS,2.3010686729543486
-116.60988142649984,36.7673139029268,48173.1,534816.7776041838,4069131.2014001696,176.2408146468136,NS,2.2886587228600432
-116.60987990997236,36.76729345911139,48171.6,534816.9221926051,4069128.9341268465,176.35107810969436,NS,2.271878987408242
-116.60987847851015,36.76727319512297,48169.5,534817.059107965,4069126.6867707344,176.51368629524566,NS,2.251522886943813
-116.60987716168536,36.767253134920445,48167.0,534817.1857001921,4069124.4619788267,176.74334142942465,NS,2.228390590664908
-116.60987597937368,36.76723325628168,48165.0,534817.3002054802,4069122.2572788014,177.0269060714149,NS,2.2076715476711937
-116.60987494630128,36.76721354888832,48163.7,534817.4013142132,4069120.07152069,177.35150156328902,NS,2.1880954042309644
-116.60987407543116,36.76719398520857,48162.8,534817.4878819165,4069117.901645684,177.71538219475934,NS,2.171601139188663
-116.60987335245592,36.76717457783593,48161.8,534817.5611797812,4069115.7490559816,178.0497740498145,NS,2.1538372743416128
-116.60987274888284,36.767155269482046,48160.4,534817.6237765932,4069113.607406966,178.32581701385564,NS,2.1425636203816145
-116.60987224090688,36.76713603403022,48158.6,534817.6778086878,4069111.4738101843,178.5493278539473,NS,2.1342808376290754
