Long,Lat,Mag_nT,Easting,Northing,Heading,Dir,Dist
-116.61070422847628,36.76758127636124,48050.1,534743.2243298697,4069160.5620693164,184.88217406700488,NS,38.71308221210257
-116.6107078092238,36.76754907466688,48057.6,534742.9192876831,4069156.9886474214,184.61357731791338,NS,3.586418098265562
-116.61070927937922,36.76753116570681,48059.6,534742.7961606741,4069155.0014794148,183.54557373276603,NS,1.9909788916010458
-116.61071033756694,36.767512362025855,48059.2,534742.7102040561,4069152.9152098843,182.3593152466708,NS,2.0880395336124447
-116.61071094547012,36.76749283533577,48058.7,534742.6647600476,4069150.748900662,181.20175274712156,NS,2.1667858232243327
-116.61071108396726,36.767472789252885,48059.2,534742.6614433428,4069148.525145771,180.08545593078503,NS,2.223757364606475
-116.61071079291968,36.76745229871005,48059.4,534742.6966626754,4069146.2522430182,179.11225518581838,NS,2.2731756035976303
-116.61071015233712,36.76743161019571,48059.7,534742.7631662454,4069143.957506235,178.33998056618643,NS,2.295700247893307
-116.61070923609236,36.76741083556057,48060.4,534742.8543107022,4069141.653316167,177.734791218731,NS,2.305992016823265
-116.61070812568776,36.767390082534014,48061.1,534742.9627736269,4069139.351593615,177.30207529636942,NS,2.3042766572545874
-116.61070691114136,36.767369383468136,48060.8,534743.0805065945,4069137.055894709,177.06420660742697,NS,2.2987158410481636
-116.6107056539095,36.767348812246446,48060.5,534743.2019914906,4069134.774393015,176.9520055547156,NS,2.284733805113027
-116.61070439055128,36.76732840328347,48060.2,534743.323949998,4069132.5108928527,176.91585730784035,NS,2.2667833735775305
-116.61070315100072,36.76730818405486,48058.7,534743.4436981967,4069130.268431221,176.94328956871755,NS,2.245656652298457
-116.61070195565908,36.76728815595373,48057.6,534743.5594147061,4069128.0471552503,177.01789431994268,NS,2.224288031938853
-116.61070080869756,36.76726821745019,48057.2,534743.6707730558,4069125.8358007562,177.11716127926485,NS,2.214156584480038
-116.61069971754416,36.76724851319178,48056.1,534743.7770450604,4069123.6504107416,177.21599139755622,NS,2.1879724073171514
-116.61069867562831,36.76722895407582,48054.9,534743.8788573171,4069121.481103457,177.31290481759592,NS,2.1716951513287377
-116.61069768346552,36.76720953255157,48052.8,534743.9761672238,4069119.327041121,177.41341801813158,NS,2.156259206271901
-116.610696743909,36.76719022129454,48050.5,534744.0687324585,4069117.1851915983,177.52536347928975,NS,2.143848805681541
-116.6106958630262,36.76717100128671,48048.3,534744.1560200967,4069115.0534430277,177.6552483189438,NS,2.1335348837128447
-116.61069504116384,36.76715183899062,48045.2,534744.2380143246,4069112.928074982,177.7906910728031,NS,2.12694907857194
-116.61069425991576,36.767132710325605,48042.1,534744.3163686963,4069110.806422884,177.884980539568,NS,2.123098450877666
-116.61069348897628,36.7671135695916,48039.8,534744.3938085306,4069108.683428243,177.91096534746495,NS,2.1244065465366258
-116.61069270054372,36.767094390444285,48036.8,534744.4728269359,4069106.5561787845,177.8726799047565,NS,2.128716553789707
-116.61069186626536,36.767075159761056,48033.1,534744.5559602396,4069104.423229115,177.76798404163856,NS,2.1345691458201475
-116.6106909729669,36.767055864628894,48029.9,534744.6443900367,4069102.283151582,177.633836434871,NS,2.141903750667309
-116.61069002933156,36.76703653266714,48026.2,534744.737328925,4069100.139006832,177.5180430850391,NS,2.146158042824995
-116.61068905267844,36.76701718344545,48022.0,534744.8332223886,4069097.992959438,177.44151110934035,NS,2.1481887660901346
-116.61068807568417,36.76699782875284,48018.1,534744.9291488057,4069095.8463052893,177.4413555090805,NS,2.1487963866145177
-116.61068713591166,36.76697848705147,48014.2,534745.0217474555,4069093.7010787483,177.52836341714914,NS,2.1472241201252342
-116.61068625159976,36.76695915937017,48010.0,534745.1093901,4069091.5573873254,177.65882414622678,NS,2.1454822650594236
-116.61068543089108,36.76693984556592,48005.9,534745.1913500912,4069089.4152122,177.80892226683437,NS,2.143742453782703
-116.61068467824713,36.76692053432794,48001.9,534745.2672343496,4069087.27329705,177.97096069631107,NS,2.143258950853068
-116.61068398662913,36.76690124188966,47997.8,534745.3376637419,4069085.1334452,178.11489250723324,NS,2.141010564945846
-116.61068334382166,36.766881948606745,47993.7,534745.4037373228,4069082.993481945,178.23149533921102,NS,2.1409830573756397
-116.61068274552396,36.76686264446373,47990.7,534745.4658434367,4069080.8522978327,178.33857314317382,NS,2.1420846321065588
-116.61068219451371,36.76684330680894,47987.9,534745.5237444047,4069078.707379114,178.45370568069387,NS,2.145700079817875
-116.61068169380584,36.766823937779215,47985.0,534745.5771701816,4069076.5589617356,178.5754905837339,NS,2.1490815584944785
-116.61068125321594,36.766804523320005,47982.4,534745.625251086,4069074.4054830647,178.7209646830181,NS,2.1540153572434395
-116.61068089850376,36.766785067905936,47980.1,534745.6656860979,4069072.2474301225,178.9265858917904,NS,2.1584317204271497
-116.61068066638208,36.76676556186958,47978.0,534745.6952030447,4069070.0837171767,179.21843071723413,NS,2.1639142685939485
-116.61068056335633,36.76674606822656,47977.2,534745.7131928899,4069067.921332166,179.52334185521673,NS,2.1624598421040733
-116.61068056264774,36.7667265786613,47977.1,534745.7220493208,4069065.759362366,179.76529122991641,NS,2.161987939961915
-116.6106806315226,36.766707104207725,47977.6,534745.7246887645,4069063.599043649,179.92999694463623,NS,2.160320329309834
-116.61068072450716,36.76668766176032,47978.6,534745.7251620239,4069061.4422666198,179.9874276462106,NS,2.1567770813147855
-116.6106807908948,36.76666825961386,47978.9,534745.7279908087,4069059.2899698205,179.9246956394629,NS,2.1522986581839896
-116.61068080333456,36.76664889912158,47978.9,534745.7356155238,4069057.1423132927,179.79658657975259,NS,2.1476700625888543
-116.61068076023368,36.766629589651615,47979.2,534745.7481740979,4069055.000336818,179.664074253082,NS,2.1420132904145595
-116.61068066782776,36.766610341755225,47981.6,534745.7651052562,4069052.865208581,179.54566495465323,NS,2.135195366209237
