Long,Lat,Mag_nT,Easting,Northing,Heading,Dir,Dist
-116.61186589244844,36.763883767823486,48362.5,534641.2127153381,4068749.9779192684,355.42083746086405,NS,40.20610681351447
-116.61186751836388,36.76390360618766,48362.3,534641.0586780551,4068752.1779919444,355.99499268590284,NS,2.20545851559204
-116.61186897399166,36.7639235901622,48363.1,534640.9197736889,4068754.3942787447,356.4137142711831,NS,2.220635405528542
-116.6118703351393,36.76394349884294,48364.0,534640.7893356943,4068756.602247437,356.61912299747416,NS,2.211818215087655
-116.61187166995916,36.76396324729689,48364.3,534640.6613196024,4068758.7924517775,356.6549029057982,NS,2.1939423814041334
-116.61187302115069,36.76398274928344,48363.9,534640.5319532315,4068760.9553096797,356.57706276184365,NS,2.166723324093931
-116.61187440537816,36.764001876252856,48363.5,534640.3998070995,4068763.0765551496,356.43528107279633,NS,2.1253576037414796
-116.61187579297538,36.76402060512152,48362.9,534640.267539321,4068765.1536382656,356.3563486737427,NS,2.0812902334175236
-116.61187712777772,36.76403891373934,48363.0,534640.140172599,4068767.184122252,356.410694731374,NS,2.03447474800985
-116.61187835795856,36.764056814638415,48363.0,534640.022326859,4068769.1694160393,356.60294615612145,NS,1.9887883348637694
-116.61187942614134,36.7640743533392,48362.7,534639.9191025243,4068771.114589958,356.96234035298096,NS,1.947910890516561
-116.6118803119236,36.76409159834318,48363.0,534639.8322897113,4068773.027250227,357.4012131658339,NS,1.9146294078381858
-116.61188101698424,36.76410869308541,48363.1,534639.76167405,4068774.923307427,357.86709481774335,NS,1.8973717289648349
-116.61188154302477,36.76412573986728,48362.9,534639.7070576637,4068776.814109193,358.34545397586214,NS,1.89159040698433
-116.61188188895802,36.764142879881554,48362.9,534639.6684740653,4068778.715318365,358.8373851949166,NS,1.901600643994215
-116.61188208246668,36.76416014035748,48363.1,534639.6434403011,4068780.6299454602,359.25089992205267,NS,1.9147907465557161
-116.61188215489892,36.76417760933073,48363.9,534639.6291189208,4068782.5677448907,359.57656107452965,NS,1.9378523510821868
-116.61188212347936,36.76419533087747,48363.8,534639.6239527857,4068784.5335997758,359.84943087383056,NS,1.9658616731733958
-116.61188200141471,36.7642133841136,48364.1,534639.6267275995,4068786.536281626,0.07938605804423199,NS,2.0026837727749895
-116.61188181685604,36.76423173806142,48365.0,534639.6349447889,4068788.5723439157,0.23123443481653175,NS,2.0360788709930744
-116.61188159352056,36.764250382243496,48364.5,534639.6464922834,4068790.640615804,0.31988822728159233,NS,2.0683041239283604
-116.6118813530372,36.76426929064266,48364.1,534639.659451391,4068792.738203393,0.3539745966960352,NS,2.0976276196630352
-116.61188111827808,36.76428844753213,48364.8,534639.6717878305,4068794.863353839,0.3325966796682901,NS,2.1251862523579894
-116.61188090791492,36.76430779581384,48364.5,534639.6818608243,4068797.009726522,0.26888890271887894,NS,2.146396319187225
-116.6118807300694,36.76432728482632,48363.6,534639.6889682948,4068799.1716986503,0.18835885326688115,NS,2.1619838111721243
-116.61188059538772,36.76434687884437,48363.1,534639.6921761322,4068801.3453033892,0.0845578827379791,NS,2.1736071059838618
-116.61188052835456,36.76436653063182,48362.8,534639.6893203162,4068803.5252919886,359.9249417576465,NS,2.179990469961335
-116.6118805548776,36.764386218043285,48362.6,534639.6780985374,4068805.709198499,359.70559412555696,NS,2.18393534125967
-116.61188069550496,36.76440589984114,48362.2,534639.6566954239,4068807.89244101,359.4383268085269,NS,2.1833474197028995
-116.61188095814391,36.76442554986717,48361.7,534639.6244170218,4068810.0721149445,359.1515790472849,NS,2.179912923800418
-116.61188133687008,36.76444512287071,48361.3,534639.5818124397,4068812.243202806,358.87579424380147,NS,2.171505849146901
-116.61188179360934,36.764464637174,48361.2,534639.5322715777,4068814.40775085,358.68887787541416,NS,2.1651149004595336
-116.61188228840048,36.76448406550151,48359.7,534639.4793732583,4068816.562747876,358.59385331492086,NS,2.15564617101745
-116.611882789908,36.76450340144925,48358.1,534639.4259170659,4068818.70749483,358.5722417193132,NS,2.145413027734167
-116.61188327127144,36.76452263728541,48357.5,534639.3743037828,4068820.841143745,358.61427686113853,NS,2.134273090398059
-116.61188371934595,36.76454178296143,48358.6,534639.3257021108,4068822.9648032878,358.68896844532696,NS,2.1242156143125857
-116.61188413808172,36.76456086638306,48358.8,534639.2797469475,4068825.081567601,358.75629831334254,NS,2.117263099887607
-116.6118845313868,36.76457990680117,48358.4,534639.2360808305,4068827.193570762,358.81556625435803,NS,2.1124545160304717
-116.61188490244416,36.76459892501151,48358.5,534639.1944103311,4068829.30311848,358.86836725109623,NS,2.109959242468473
-116.6118852531132,36.7646179419916,48358.7,534639.1545600588,4068831.4125371133,358.91772035729076,NS,2.1097950173197
-116.61188558175463,36.764636981449165,48359.1,534639.1166656534,4068833.5244571404,358.972046049715,NS,2.1122599713740957
-116.61188588186336,36.76465606373505,48359.4,534639.0812985463,4068835.6411384256,359.04274798429003,NS,2.1169767347313093
-116.61188613195274,36.76467521264457,48359.7,534639.050365715,4068837.7652283492,359.16566837190095,NS,2.1243151470433137
-116.61188631529376,36.7646943815965,48360.6,534639.0253811739,4068839.891565731,359.3268034991611,NS,2.1264841611101577
-116.61188643056272,36.764713539728255,48361.1,534639.0064769367,4068842.016727472,359.4903425855329,NS,2.125245820433713
-116.6118864904096,36.7647326499112,48361.8,534638.9925406909,4068844.136590336,359.62333574590514,NS,2.1199086726177985
-116.61188651955092,36.76475168197794,48362.6,534638.9813800465,4068846.247798918,359.6971157309367,NS,2.111238081312275
-116.61188655202028,36.7647706395019,48362.9,534638.9699559009,4068848.3507373044,359.68874557165793,NS,2.1029694170353976
-116.61188660059013,36.764789542818505,48362.8,534638.9571191638,4068850.4476566715,359.64925610289146,NS,2.096958658127469
-116.61188666724658,36.76480840570484,48362.7,534638.9426863791,4068852.540084588,359.60480142118723,NS,2.092477691741257
-116.61188674790564,36.76482723837525,48362.1,534638.9270174516,4068854.629155604,359.5702651697909,NS,2.089129777300411
-116.61188683798024,36.76484606175902,48361.0,534638.9105123671,4068856.7171930578,359.5471096634162,NS,2.0881026855534337
-116.6118869374904,36.764864898111085,48360.0,534638.8931593254,4068858.8066656706,359.5241702654579,NS,2.0895446699780025
-116.6118870485034,36.764883789116126,48359.2,534638.8747550764,4068860.902196759,359.49680599502994,NS,2.0956119054855336
