Long,Lat,Mag_nT,Easting,Northing,Heading,Dir,Dist
-116.61311857144946,36.76751831549454,48343.3,534527.7803352734,4069152.70422609,184.22433390594276,NS,7.370029277421127
-116.61312004858156,36.76749910975883,48342.7,534527.657116949,4069150.5732082063,183.30923449718833,NS,2.1345772359950628
-116.61312120526284,36.767479209871695,48341.9,534527.5628090069,4069148.36530397,182.4458327594654,NS,2.2099174430313226
-116.61312200829892,36.76745878585039,48340.8,534527.5002977328,4069146.0993853,181.58025264116876,NS,2.266780773992902
-116.61312251435852,36.76743796707883,48339.7,534527.46446763,4069143.789784265,180.88878943497951,NS,2.3098789442291086
-116.61312276516936,36.767416959912765,48338.5,534527.4515021299,4069141.4593767803,180.31876861722128,NS,2.330443552174632
-116.6131227939621,36.767395890261376,48336.7,534527.4583790684,4069139.122117915,179.83141858119137,NS,2.3372689821436716
-116.61312260310063,36.767374916220376,48335.6,534527.4848166029,4069136.7955443147,179.3489593649752,NS,2.326723804386405
-116.61312223391216,36.767354068371375,48335.4,534527.5271127152,4069134.483033479,178.95216986245654,NS,2.312897603719603
-116.61312172307244,36.76733343501999,48334.7,534527.5819546215,4069132.194367886,178.6273186555669,NS,2.2893225705198077
-116.61312110016256,36.76731305680286,48333.8,534527.6466840871,4069129.934044673,178.35965412572256,NS,2.2612498603011337
-116.6131203902392,36.76729301511952,48333.0,534527.7190283904,4069127.7110844203,178.136016686511,NS,2.2241371323850894
-116.61311964892738,36.76727327292705,48332.7,534527.7940397712,4069125.521357908,178.03804011211815,NS,2.191010932519678
-116.61311892931133,36.767253840675934,48331.8,534527.8669759368,4069123.3660052516,178.0618761268991,NS,2.156586366718912
-116.61311827460348,36.76723471073812,48330.5,534527.9339837143,4069121.2441646894,178.19119900840482,NS,2.122898352175398
-116.6131177437995,36.76721587176203,48329.9,534527.9898029948,4069119.154555715,178.46983391090328,NS,2.090354385624412
-116.61311737546436,36.76719729037019,48329.7,534528.0310069226,4069117.0934618628,178.854735927738,NS,2.0615056711119917
-116.61311719538917,36.76717888152941,48329.1,534528.055331825,4069115.0514411316,179.31751509219035,NS,2.0421656072131946
-116.61311720951262,36.7671605633199,48328.6,534528.0622844064,4069113.0194040453,179.8039642012244,NS,2.032048980355517
-116.6131174161577,36.767142205803125,48328.4,534528.0520725864,4069110.9829371828,180.2873060666088,NS,2.0364924658575005
-116.61311775515388,36.767123780111646,48328.1,534528.0300793451,4069108.93885999,180.61644994809168,NS,2.044195507575263
-116.61311816846292,36.76710519394642,48328.0,534528.0015258153,4069106.8769547055,180.79338861540197,NS,2.0621029814121
-116.61311860660258,36.76708640686505,48327.6,534527.9708462799,4069104.792752921,180.84333530908057,NS,2.0844275741166203
-116.61311901311063,36.76706738906709,48327.2,534527.943093198,4069102.68296925,180.75365203165498,NS,2.109966201948939
-116.61311934548688,36.767048159159685,48327.0,534527.9220512635,4069100.549683108,180.56512575575638,NS,2.1333899141419197
-116.61311957645228,36.7670287587742,48326.8,534527.9101363951,4069098.3975224863,180.31719969684622,NS,2.1521936032206974
-116.61311969083576,36.76700922902656,48326.7,534527.9086841433,4069096.231053829,180.03840714998316,NS,2.166469143832417
-116.61311967250596,36.76698962849222,48326.5,534527.9191079363,4069094.05678071,179.725317503086,NS,2.1742981057817055
-116.61311954931864,36.76696997261768,48326.2,534527.9389148029,4069091.8764065537,179.47953031849426,NS,2.180464118729164
-116.61311935204796,36.76695031473327,48325.9,534527.9653343263,4069089.6958361752,179.30584532358728,NS,2.180730420414307
-116.6131191079362,36.766930680584565,48326.1,534527.9959236583,4069087.5179156912,179.1953221427301,NS,2.1781352900563538
