Long,Lat,Mag_nT,Easting,Northing,Heading,Dir,Dist
-116.61231325402568,36.76753605189075,48248.0,534599.6443726775,4069154.9625136917,184.80284474214727,NS,7.371698823144604
-116.61231497976752,36.76751676962631,48244.6,534599.4990190672,4069152.8229154684,183.88641743930066,NS,2.14452983881054
-116.61231632981712,36.76749674423681,48240.7,534599.3875285924,4069150.6010184684,182.8725816210947,NS,2.2246924291893913
-116.612317193473,36.76747620046656,48236.5,534599.3196800614,4069148.3217935106,181.70509136662713,NS,2.280234600086903
-116.61231756429656,36.76745522117376,48232.2,534599.2960109065,4069145.99443435,180.5826758309111,NS,2.3274795145035245
-116.61231747871298,36.76743405725296,48227.9,534599.3131575994,4069143.646759456,179.58153674799178,NS,2.347737510388636
-116.6123169677089,36.76741283092357,48223.8,534599.3682998068,4069141.2923153844,178.65835068245553,NS,2.3550897115756353
-116.612316052139,36.76739170480455,48219.9,534599.4595032755,4069138.9491338586,177.77100610280576,NS,2.344955806757358
-116.61231483165132,36.7673706561576,48215.7,534599.5778849679,4069136.614656507,177.09700919151393,NS,2.3374770009205164
-116.6123134264986,36.76734979987592,48212.1,534599.7126610887,4069134.3015849227,176.66530785155717,NS,2.316994768436221
-116.61231193710924,36.76732918038856,48209.5,534599.8548487525,4069132.0148113007,176.44202713507073,NS,2.291189850314033
-116.61231045544666,36.76730885863673,48207.8,534599.99621312,4069129.761062588,176.41087558241443,NS,2.2581778370866847
-116.61230903333129,36.76728885614902,48206.5,534600.1321196979,4069127.542708207,176.49417920668435,NS,2.222513612627358
-116.61230767759088,36.76726918738508,48205.9,534600.2619526241,4069125.3613496944,176.59381385365407,NS,2.185218878909887
-116.61230638270432,36.7672498811308,48204.9,534600.3861917027,4069123.2201822544,176.67919372142228,NS,2.14476883479532
-116.61230514865672,36.76723100370896,48203.6,534600.5048084604,4069121.126563051,176.75729869164422,NS,2.0969767059124655
-116.61230397554549,36.76721255388112,48203.3,534600.6177947526,4069119.0803546687,176.83948591690066,NS,2.049325412247307
-116.612302875158,36.76719449301808,48204.1,534600.7241159391,4069117.0772677236,176.9616675560278,NS,2.005906653885467
-116.61230187497048,36.76717677796903,48204.6,534600.8213392297,4069115.1125055817,177.16711549359917,NS,1.9671661451405784
-116.61230101796556,36.76715933652156,48205.0,534600.9056609778,4069113.1780422083,177.50410165679057,NS,1.9363002608518267
-116.61230032111165,36.767142090663455,48205.8,534600.9756018434,4069111.265217603,177.90595960041048,NS,1.9141028432817098
-116.61229977009565,36.76712488488642,48207.1,534601.0325090924,4069109.356786465,178.292011040326,NS,1.9092794046206445
-116.61229934276597,36.76710760262098,48208.7,534601.0784120582,4069107.439825792,178.6282745742753,NS,1.9175101835124637
-116.6122990037638,36.76709010802914,48210.3,534601.1165274445,4069105.499279907,178.8747650789454,NS,1.940920171991381
-116.61229869486824,36.76707234535923,48212.8,534601.152076354,4069103.52898535,178.966356828564,NS,1.9706152253793967
-116.61229836559689,36.76705425840528,48215.9,534601.189589461,4069101.522725457,178.92880664037114,NS,2.0066105730117645
-116.61229797390622,36.7670358270402,48219.0,534601.2328280838,4069099.478282739,178.78841245921117,NS,2.044899901058628
-116.61229747494174,36.76701704527024,48222.0,534601.2857980639,4069097.3950085244,178.54349345852194,NS,2.0839475213417016
-116.61229685771777,36.76699793971764,48225.1,534601.3494678937,4069095.275859982,178.27906568872064,NS,2.1201048070798576
-116.61229613441252,36.766978597094514,48228.2,534601.4227117422,4069093.130451649,178.04469197430996,NS,2.1466582345242684
-116.61229531145204,36.7669590819569,48231.8,534601.5049271084,4069090.965942383,177.8247586443108,NS,2.166070111903853
-116.61229438914312,36.76693946521644,48235.4,534601.5960547561,4069088.790198272,177.6016574164659,NS,2.177651644201929
-116.61229338790405,36.766919796003805,48238.8,534601.694250336,4069086.6086619813,177.42273497445558,NS,2.1837451682776
-116.61229233494988,36.766900142987694,48242.3,534601.7970541231,4069084.42894107,177.29971783615593,NS,2.182143869994185
-116.61229125587452,36.76688054576751,48245.9,534601.9021641382,4069082.2554190285,177.2313728450866,NS,2.176062081093751
-116.61229017974976,36.76686104033328,48249.6,534602.006969625,4069080.092077708,177.226410498022,NS,2.16587854216901
-116.61228913545196,36.76684163815734,48253.2,534602.1088882809,4069077.9401792926,177.28837183500073,NS,2.1543106094911306
-116.61228815084732,36.76682233244853,48256.5,534602.2054361617,4069075.798960369,177.41827345860958,NS,2.1433944974341834
-116.61228725518744,36.766803113990576,48259.8,534602.294006774,4069073.667388005,177.62062748070426,NS,2.133411703326084
-116.61228648355522,36.76678395608086,48263.2,534602.3714810364,4069071.5424874043,177.91191039222744,NS,2.126312494656457
-116.612285837658,36.766764871414615,48266.8,534602.4377008644,4069069.425666231,178.20821910262202,NS,2.117856686500736
-116.61228529432024,36.76674581307568,48270.2,534602.4947556923,4069067.311728468,178.4539717887913,NS,2.1147075730133547
-116.6122848244292,36.76672675758683,48273.7,534602.5452543055,4069065.1980803194,178.63136772609417,NS,2.1142513111063477
-116.6122843909327,36.76670767619961,48277.9,534602.5925164424,4069063.0815461255,178.72079976850821,NS,2.117061809174476
-116.61228396651744,36.76668855677398,48281.8,534602.6389852073,4069060.960789068,178.74476987852657,NS,2.121266094183385
-116.61228354406664,36.76666938970051,48284.8,534602.6853000697,4069058.8347457536,178.7520355435925,NS,2.1265477285856167
-116.61228313211517,36.76665017015839,48287.3,534602.7307014811,4069056.702878322,178.77998225632777,NS,2.1323508233735917
-116.612282747386,36.76663088433019,48289.9,534602.7737031577,4069054.5636479673,178.84842564829117,NS,2.1396625095117434
