Long,Lat,Mag_nT,Easting,Northing,Heading,Dir,Dist
-116.61348798649888,36.76383051449128,48388.4,534496.4630247782,4068743.4847845547,355.1113271095864,NS,38.770436292810395
-116.61348967885932,36.76385079193246,48388.6,534496.3028977601,4068745.7335422225,355.9270209070703,NS,2.254451532101928
-116.6134910929392,36.76387142871094,48387.4,534496.1674467018,4068748.0222613066,356.61306960796895,NS,2.2927237154037368
-116.61349223739452,36.76389225336644,48387.0,534496.055975821,4068750.3319186782,357.2368806531146,NS,2.3123457638222242
-116.61349316153488,36.76391295775518,48386.7,534495.9642221852,4068752.6283143116,357.71193554965373,NS,2.2982279335696303
-116.6134939102544,36.76393341137587,48386.7,534495.8882373779,4068754.8969555763,358.08167913253135,NS,2.2699134077292915
-116.61349451777764,36.76395347742049,48387.0,534495.8250280943,4068757.1226540916,358.3732513866818,NS,2.2265958983531235
-116.61349500547324,36.76397299199435,48386.8,534495.7727605518,4068759.287221386,358.61675459910435,NS,2.1651982515599295
-116.61349540293564,36.76399191067343,48386.6,534495.7288133142,4068761.38571886,358.80027341034906,NS,2.0989576004516284
-116.61349572451184,36.764010260179255,48386.5,534495.6918939226,4068763.4211055483,358.96083953583945,NS,2.0357214965394363
-116.61349597610636,36.76402808457249,48386.1,534495.6614556534,4068765.398266955,359.11800493335056,NS,1.9773956902309826
-116.6134961576808,36.76404544107388,48385.3,534495.6374763004,4068767.323550562,359.28641957914715,NS,1.9254329323873733
-116.61349628662497,36.764062495605536,48386.1,534495.6183294945,4068769.21535577,359.42013389795625,NS,1.8919020974354945
-116.61349638562496,36.76407941617093,48387.4,534495.601915234,4068771.0923109576,359.4989524084163,NS,1.8770269586522246
-116.61349648141936,36.76409634521261,48387.9,534495.5857832773,4068772.9702075752,359.50781619660734,NS,1.8779659066507102
-116.61349661039148,36.7641134377763,48388.1,534495.5666169489,4068774.8662316673,359.4208341941879,NS,1.8961209629052262
-116.61349680327092,36.76413081752283,48390.1,534495.5416182214,4068776.7940898025,359.2570815867499,NS,1.9280202088729375
-116.61349707956224,36.76414854841356,48392.9,534495.509017658,4068778.760870155,359.05037506762943,NS,1.9670505207926465
-116.61349745478996,36.76416667610315,48393.2,534495.467409242,4068780.7716315873,358.8145553179553,NS,2.011191884954735
-116.61349794156273,36.76418524356495,48391.6,534495.4156484017,4068782.831136567,358.5603076803266,NS,2.0601553208969294
-116.61349851151824,36.764204199257165,48391.6,534495.3562895857,4068784.9336778084,358.3828586015485,NS,2.103378981669329
-116.6134991247361,36.764223448082326,48391.2,534495.2929383095,4068787.0687205773,358.3004105996123,NS,2.135982445911784
-116.61349974552574,36.764242913220905,48390.6,534495.228814388,4068789.227756176,358.29880047187186,NS,2.159987637567128
-116.61350033671708,36.76426252708277,48391.1,534495.1672655473,4068791.403300259,358.3794635896446,NS,2.176414555033006
-116.61350087500097,36.764282180816224,48390.8,534495.1104208892,4068793.5832863506,358.50631105891637,NS,2.1807270979148368
-116.6135013571966,36.76430182401819,48389.9,534495.0585868761,4068795.762124408,358.6372047722634,NS,2.179454529343561
-116.61350179175244,36.764321423427845,48390.2,534495.0110243683,4068797.936121778,358.7466883198275,NS,2.17451759182996
-116.61350219684915,36.76434096852573,48391.8,534494.9661154436,4068800.104104989,358.81331003985105,NS,2.168448296635287
-116.61350260323614,36.76436047593896,48392.0,534494.9211082549,4068802.2679074015,358.80841700071136,NS,2.1642704375090815
