mag,ydist,xdist
0.9809774114390675,-558.7863837922923,15.444473841693252
0.9824290375725626,-556.5997925531119,15.379192582564428
0.9835000185686753,-554.4125293707475,15.312797826947644
0.9841624872175907,-552.2337194983847,15.245685892528854
0.9843966756016123,-550.0461839879863,15.17797550430987
0.9841749482470594,-547.8588467882946,15.11110936733894
0.9834657869896151,-545.661969141569,15.04549509647768
0.9822421000860748,-543.4728879891336,14.98165006574709
0.9804748996278545,-541.2915087547153,14.919419301091693
0.9781146618408894,-539.1004365128465,14.858603502158076
0.9751260349195885,-536.9074638048187,14.799272958771326
0.9714501838509273,-534.7033446314745,14.741311000310816
0.9670688213321297,-532.5046838759445,14.68523093580734
0.9619153937128786,-530.3017310099676,14.630579354357906
0.9559557657502253,-528.1033099889755,14.576607172260992
0.9490809787230097,-525.8930619289167,14.52172708848957
0.9412481627867155,-523.6809785696678,14.464910279610194
0.9323459081271919,-521.4585187337361,14.404334265156649
0.9223825181901271,-519.2457240968943,14.3400589391822
0.9112527610915242,-517.0338478200138,14.271750331274234
0.8989431630211637,-514.8327744896524,14.200410918332636
0.8852881885577784,-512.6255546687171,14.126496704528108
0.870259038492132,-510.4208469064906,14.05126067053061
0.8536853343137398,-508.20840439153835,13.973869216162711
0.8355898553810039,-506.0049545937218,13.894183282274753
0.8157855013925088,-503.80037983879447,13.810962830088101
0.7942581928662609,-501.60425074771047,13.725015871576034
0.7707078778047007,-499.39798340108246,13.636092195403762
0.7450971862204874,-497.19043858069927,13.545742091839202
0.7172035832233794,-494.9733894309029,13.456207264214754
0.6871141604742022,-492.76372490171343,13.370257493457757
0.654715213967271,-490.56156957615167,13.28891405009199
0.6195852678887723,-488.3491220045835,13.211911589140072
0.5817029843812893,-486.13642574986443,13.140315757482313
0.5408567478208015,-483.9225456248969,13.073133223806508
0.4966958811998783,-481.7007021680474,13.009346426930279
0.4493626472747696,-479.4893186497502,12.94806577754207
0.39843317451976823,-477.2795315235853,12.886487809126265
0.34386891508244943,-475.080633148551,12.822192610125057
0.2849552991682609,-472.87492142478004,12.753502817708068
0.2216208306218519,-470.67106827441603,12.68079606781248
0.15330578857083133,-468.4604369411245,12.604872744297609
0.08029771544881292,-466.26114765554667,12.52908063295763
0.0019999349053065885,-464.06354528758675,12.454741759691387
-0.08158367496854524,-461.87650580890477,12.382746205315925
-0.17147617627227518,-459.6830308968201,12.312790027004667
-0.26783649535855325,-457.4904115907848,12.244567782152444
-0.37158819950383304,-455.2891682088375,12.177248046384193
-0.4824932391592025,-453.0953246266581,12.110640584607609
-0.6016719246472526,-450.89747940469533,12.043387870187871
-0.7293022295702745,-448.7033954835497,11.975074993562885
-0.8672020336856985,-446.49410368083045,11.904744202503935
-1.0157223763876946,-444.2776423585601,11.8321650713915
-1.176471585324796,-442.0440245787613,11.756942416075617
-1.3488912331904945,-439.8133478537202,11.681560571189038
-1.5344056692080947,-437.5782626266591,11.60757300851401
-1.7330134748177652,-435.3498429409228,11.53611640771851
-1.9470283811061488,-433.11389161553234,11.46680893539451
-2.176546196652547,-430.88179243635386,11.399445691844448
-2.423416900645753,-428.64742407156155,11.33359693188686
-2.6865798432343038,-426.43085676664487,11.269338926533237
-2.966671570295576,-424.23481711000204,11.205914646969177
-3.2672864757002387,-422.04078565957025,11.142199268215336
-3.5889743119944733,-419.85548005392775,11.078277820721269
-3.9351331852249647,-417.6670892057009,11.013967380160466
-4.305419072099639,-415.4888421497308,10.950051507097669
-4.704147807245587,-413.3067662171088,10.88599313434679
-5.1344592607958965,-411.11736307293177,10.820899149985053
-5.597784258427183,-408.9271727777086,10.753530669258907
-6.101843785426075,-406.7157683838159,10.680937287048437
-6.647361370774705,-404.49642215529457,10.60384600085672
-7.239833614210319,-402.26240651635453,10.523872625315562
-7.877304082058183,-400.03490040963516,10.444642004324123
-8.564321522600286,-397.80974834784865,10.369324897183105
-9.30141736392218,-395.5968278395012,10.299391331034712
-10.09801441818233,-393.3804772188887,10.234354451415129
-10.95576550092315,-391.1697799144313,10.173615765874274
-11.883600945878806,-388.95569634018466,10.115691127139144
-12.881226001657112,-386.752642668318,10.058859400101937
-13.959549548695668,-384.5498907696456,10.00110518024303
-15.121952920026612,-382.35406831186265,9.942094635334797
-16.386624480442485,-380.1456307498738,9.882117764325812
-17.763766242086408,-377.9237718996592,9.823159511666745
-19.25206609854316,-375.70588944107294,9.767170894192532
-20.867284803741732,-373.4832185115665,9.71405440568924
-22.613482971898893,-371.2651524716057,9.662963349372149
-24.516736475009026,-369.0349758272059,9.611172271310352
-26.582797940999132,-366.8032527179457,9.55660922639072
-28.834120418647416,-364.5626254528761,9.497650375124067
-31.266309432081943,-362.33240868430585,9.434877724735998
-33.899525717200966,-360.10659615695477,9.370323868235573
-36.7489400884641,-357.88538502762094,9.305160837713629
-39.83058122213672,-355.669220531825,9.239123429870233
-43.16218164572361,-353.4582353415899,9.170519526815042
-46.76115770950375,-351.25286897365004,9.099058004561812
-50.64911850939952,-349.05117511795834,9.025456489762291
-54.84795316706688,-346.85162562830374,8.950906315818429
-59.37961170973088,-344.65287729306147,8.877397988806479
-64.26943469106111,-342.45236486010253,8.806635422515683
-69.54006107533506,-340.24912950769067,8.739887515315786
-75.2130171874087,-338.0425508087501,8.678033421514556
-81.30543971446637,-335.8330852226354,8.62196968542412
-87.83861302130705,-333.6194927096367,8.570192267070524
-94.8222151344576,-331.4033215595409,8.521726364153437
-102.26437877896683,-329.1847630548291,8.476204953622073
-110.16497754720318,-326.96446200972423,8.43385101761669
