Long,Lat,Mag_nT,Easting,Northing,Heading,Dir
-116.59837141121798,36.76872715373015,-2.2737367544323206e-11,535843.3549063087,4069292.2212533015,178.28992732832478,NS
-116.59837203988124,36.76874686735584,-0.22001732979060762,535843.2896250496,4069294.4078445407,178.2613105133179,NS
-116.59837268098978,36.76876658708085,0.060020649426405726,535843.223230294,4069296.595107723,178.23572710121277,NS
-116.59837333053191,36.76878623063008,0.43936281990227144,535843.1561183595,4069298.7739175954,178.22710021937706,NS
-116.5983739863697,36.76880595285965,0.41942321494479984,535843.0884079713,4069300.961453106,178.24903325315654,NS
-116.59837463275736,36.768825673269525,0.19946728675040504,535843.0215418343,4069303.1487903064,178.2892522263824,NS
-116.59837526466976,36.768845479634905,-0.4197033484460917,535842.9559275635,4069305.345667952,178.32942961607952,NS
-116.59837587712488,36.76886521565135,-0.9395157285116511,535842.8920825328,4069307.5347491046,178.3658992890942,NS
-116.59837647185472,36.76888488217726,-1.0599620687653442,535842.8298517681,4069309.716128339,178.4100961482471,NS
-116.59837705027456,36.7689046360278,-0.5796105582930977,535842.7690359692,4069311.907200581,178.45024943839175,NS
-116.5983776119632,36.76892440695392,-0.19910261671702756,535842.7097054258,4069314.1001732885,178.4936339095218,NS
-116.59837815779316,36.7689442783087,-0.41767718736173265,535842.6517434673,4069316.3042924623,178.5389039797748,NS
-116.5983786827936,36.768964100387,-1.2367010512980414,535842.5956634028,4069318.5029532174,178.5788788973554,NS
-116.59837919158645,36.76898396110269,-1.6553716230200735,535842.5410118214,4069320.7059060843,178.59364645905794,NS
-116.59837969297998,36.76900378094001,-1.6744152199908058,535842.4870396393,4069322.904327105,178.57764778528687,NS
-116.5983802039906,36.769023707427166,-1.7924853097874802,535842.4321595555,4069325.114575165,178.52869569171526,NS
-116.598380736616,36.76904365053191,-1.7104043325389284,535842.3753427466,4069327.3266585236,178.43871605010932,NS
-116.59838131087528,36.76906368731813,-1.0274692468674402,535842.3147667322,4069329.5491183596,178.3361900720122,NS
-116.59838192703968,36.76908363711672,-0.3453297228415977,535842.2504914062,4069331.761912997,178.23111652101488,NS
-116.59838258844012,36.76910357878917,0.03673420904578961,535842.1821827983,4069333.9737892738,178.14362527062755,NS
-116.59838328430864,36.76912342319241,-0.08209107101083646,535842.1108433853,4069336.174862604,178.08202587111995,NS
-116.59838400873892,36.76914332310087,-0.8004104212022867,535842.0369291715,4069338.382082425,178.0455300493295,NS
