Easting,Northing,Mag_nT
535840.3651742267,4069386.944091806,-7.399465366825408
535840.2931786723,4069389.131131285,-9.376939805276216
535840.223222494,4069391.324606197,-11.400127594825426
535840.1550002492,4069393.517225503,-13.468445646105758
535840.0876805134,4069395.718468885,-15.581279702156491
535840.0210730516,4069397.912312467,-17.73798461398323
535839.9538203372,4069400.110157689,-19.937884635458985
535839.8855074606,4069402.30424161,-22.18027373740227
535839.8151766695,4069404.513533413,-24.464415940655964
535839.7425975384,4069406.729994735,-26.78954566797935
535839.6673748831,4069408.963612515,-29.15486811455429
535839.5919930382,4069411.19428924,-31.559559636894253
535839.5180054755,4069413.429374467,-34.00276815993522
535839.4465488747,4069415.657794153,-36.48361360207485
535839.3772414024,4069417.8937454782,-39.00118831791574
535839.3098781588,4069420.1258446574,-41.554557558458434
535839.2440293989,4069422.360213022,-44.14275994847815
535839.1797713935,4069424.576780327,-46.764807980809216
535839.116347114,4069426.772819984,-49.41968852725071
535839.0526317352,4069428.966851434,-52.10636336579669
535838.9887102877,4069431.15215704,-54.82376972388391
535838.9243998472,4069433.340547888,-57.57082083734103
535838.8604839741,4069435.518794944,-60.3464065247124
535838.7964256014,4069437.7008708767,-63.14939377662117
535838.731331617,4069439.890274021,-65.97862735982665
535838.6639631363,4069442.080464316,-68.83293043562205
535838.591369754,4069444.29186871,-71.71110519220919
535838.5142784679,4069446.5112149385,-74.6119334906797
535838.4343050923,4069448.7452305774,-77.53417752422199
535838.3550744713,4069450.972736684,-80.4765804901662
535838.2797573642,4069453.197888746,-83.43786727447164
535838.209823798,4069455.4108092543,-86.4167451482527
535838.1447869184,4069457.627159875,-89.41190447593168
535838.0840482329,4069459.8378571793,-92.42201943460152
535838.0261235941,4069462.0519407536,-95.44574874417198
535837.9692918671,4069464.2549944255,-98.4817364078678
535837.9115376472,4069466.457746324,-101.52861246264082
535837.8525271023,4069468.653568782,-104.5849937390509
535837.7925502313,4069470.862006344,-107.6494846301656
535837.7335919787,4069473.083865194,-110.72067786902286
535837.6776033612,4069475.3017476527,-113.79715531419446
535837.6244868727,4069477.524418582,-116.87748874298444
535837.5733958164,4069479.742484622,-119.96024065179115
535837.5216047383,4069481.9726612666,-123.04396506315696
535837.4670416934,4069484.204384376,-126.1272083390256
535837.4080828421,4069486.445011641,-129.20850999972362
535837.3453101917,4069488.6752284095,-132.28640354817787
535837.2807563352,4069490.901040937,-135.35941729887838
535837.2155933047,4069493.122252066,-138.4260752110928
535837.1495558969,4069495.338416562,-141.48489772583548
535837.0809519938,4069497.549401752,-144.53440260609202
535837.0094904716,4069499.75476812,-147.57310577979823
535836.9358889568,4069501.956461976,-150.59952218507047
535836.8613387828,4069504.1560114655,-153.61216661718174
535836.7878304558,4069506.3547598007,-156.60955457677906
535836.7170678895,4069508.5552722337,-159.59020311883432
535836.6503199823,4069510.758507586,-162.5526317018215
535836.5884658885,4069512.965086285,-165.4953630366118
535836.5324021524,4069515.174551871,-168.41692393458064
535836.4806247341,4069517.388144384,-171.3158461544166
535836.4321588312,4069519.6043155342,-174.1906672471275
535836.3866374206,4069521.822874039,-177.03993139873688
535836.3442834846,4069524.043175084,-179.8621902701657
535836.3043739739,4069526.265464757,-182.65600383379677
535836.2662272126,4069528.488082607,-185.41994120621996
535836.228601525,4069530.7098801113,-188.15258147665963
535836.1892459723,4069532.930696989,-190.8525145305866
535836.146266142,4069535.1499771206,-193.518341868021
535836.0984338071,4069537.3690708,-196.14867741603504
535836.0453590916,4069539.5892540463,-198.742148334968
535835.9870301661,4069541.812097125,-201.29739581786905
535835.925531258,4069544.035064632,-203.8130758826876
535835.8624793226,4069546.257541387,-206.287860156736
535835.7998387042,4069548.477855932,-208.72043665295232
535835.7396609732,4069550.702478997,-211.1095105374967
535835.6829708003,4069552.914778509,-213.45380488822028
535835.6290366978,4069555.12318206,-215.7520614435491
535835.5768386173,4069557.3190791374,-218.003041341334
535835.5245424969,4069559.520295877,-220.20552584722017
535835.4718579059,4069561.718206932,-222.3583170720994
535835.4189603287,4069563.921492417,-224.46023867821077
535835.3663963721,4069566.111865534,-226.5101365734666
535835.3136560182,4069568.296707514,-228.5068795935839
535835.2604871183,4069570.467398685,-230.44936017160927
535835.205864654,4069572.641529904,-232.3364949944356
535835.1494206944,4069574.819608376,-234.16722564591225
535835.0913023413,4069576.984467313,-235.9405192361616
535835.032295702,4069579.144675301,-237.65536901672183
535834.9738099265,4069581.292502237,-239.31079498114408
535834.916695774,4069583.4459013073,-240.9058444506807
535834.8629924043,4069585.596023467,-242.43959264471115
535834.8130004152,4069587.754396997,-243.9111432355603
535834.7676942743,4069589.903917184,-245.3196288873724
535834.7271812281,4069592.053503351,-246.6642117787153
