Long Lat Mag_nT
-116.61055381345469 36.75947764515527 48526.3
-116.61053719407816 36.75947578286985 48526.1
-116.61051930300492 36.75947398242555 48527.6
-116.61049988123112 36.75947226053639 48528.8
-116.61047921106837 36.75947062218592 48529.4
-116.61045737251926 36.75946908707795 48530.4
-116.6104345125031 36.75946768012478 48532.0
-116.61041056659158 36.759466459574455 48533.0
-116.61038590421744 36.7594654193808 48533.6
-116.61036071904472 36.759464551412336 48534.4
-116.61033520589332 36.7594638274124 48535.3
-116.61030947120088 36.75946322256501 48536.8
-116.61028372364784 36.7594626787518 48538.8
-116.61025808141449 36.75946216454084 48540.1
-116.61023262138777 36.759461659195374 48541.1
-116.61020745079216 36.75946113624696 48542.1
-116.61018257481771 36.75946057637739 48543.9
-116.61015800596162 36.75945996725783 48546.0
-116.61013372412596 36.7594593039448 48547.0
-116.610109779088 36.75945857702799 48547.2
-116.61008609356315 36.75945779366926 48547.5
-116.61006262505268 36.7594569572344 48548.1
-116.61003931616274 36.75945608359506 48549.4
-116.61001613763864 36.75945519732932 48550.9
-116.60999301283812 36.759454318149714 48552.1
-116.6099698969096 36.75945344987132 48552.8
-116.6099467503534 36.759452592392805 48553.7
-116.60992354306188 36.75945174412824 48554.8
-116.6099002993504 36.75945089932456 48556.5
-116.60987703649432 36.75945005355537 48558.2
-116.60985376117648 36.75944920259136 48558.6
-116.60983045169264 36.75944833328169 48559.2
-116.60980707190087 36.75944742969472 48559.7
-116.60978358531996 36.75944647358702 48559.8
-116.60975995057412 36.75944545320738 48560.5
-116.60973615649507 36.759444358499486 48560.9
-116.609712220925 36.75944320982118 48560.7
-116.60968814818068 36.7594420195033 48560.8
-116.60966395773806 36.75944079704868 48561.9
-116.60963967577936 36.75943954769856 48563.3
-116.6096153380225 36.759438282786256 48564.1
-116.60959096080576 36.75943701393335 48564.2
-116.6095665573188 36.75943575447079 48565.2
-116.60954212534789 36.75943451511996 48566.0
-116.60951768119384 36.75943329794833 48566.1
-116.60949323473828 36.759432105632285 48566.3
-116.609468801262 36.759430938092926 48567.0
-116.60944438763904 36.75942979877724 48568.1
-116.60941999748172 36.75942868103803 48569.3
-116.60939563092178 36.75942757764298 48570.3
-116.60937129080318 36.7594264839812 48571.0
-116.60934697692518 36.75942540083397 48571.4
-116.60932269378092 36.75942432311222 48572.1
-116.60929845949292 36.75942324554009 48573.1
-116.6092742924442 36.759422162758135 48574.1
-116.6092502141327 36.759421069007566 48574.4
-116.6092261896206 36.75941996229639 48574.3
-116.60920219285669 36.759418833162414 48574.6
-116.6091781920834 36.75941767327054 48574.5
-116.60915415661232 36.759416479089154 48574.5
-116.6091300680686 36.75941525476605 48574.5
-116.60910593116316 36.7594139917258 48574.6
-116.60908173806403 36.75941267659604 48574.7
-116.60905750399064 36.75941128405341 48574.5
-116.60903322545012 36.75940982242444 48574.8
-116.6090088989644 36.7594083065616 48575.9
-116.60898453878076 36.7594067665404 48577.6
-116.6089601586855 36.75940524132001 48579.0
-116.60893578349588 36.75940375608933 48579.5
-116.60891143680108 36.75940232497268 48579.6
-116.6088871492325 36.75940094978988 48579.5
-116.60886292648046 36.75939963677013 48579.2
-116.60883875110513 36.75939837377991 48578.7
-116.60881459172748 36.75939715826158 48578.6
-116.60879041661028 36.75939598157765 48578.6
-116.60876618385235 36.75939482390324 48578.5
-116.60874189858411 36.759393657072685 48578.2
-116.6087175624358 36.759392465800175 48578.5
-116.60869317071626 36.75939123861139 48579.1
-116.6086687343866 36.75938996361885 48579.2
-116.6086442570594 36.75938865057671 48579.0
-116.60861974363132 36.7593873016379 48579.2
-116.6085952010513 36.75938591126116 48579.4
-116.60857068240364 36.75938446309227 48579.7
-116.60854621478252 36.75938296670879 48579.9
-116.60852180327508 36.759381433884776 48580.0
-116.60849743442058 36.759379881107535 48580.3
-116.60847308192076 36.759378328952685 48580.1
-116.60844872692036 36.75937679127777 48580.2
-116.60842437162418 36.75937527770415 48580.3
-116.60840003219344 36.75937379548143 48580.1
-116.60837571101251 36.75937236017972 48580.2
-116.6083514121306 36.759370972721264 48580.0
-116.60832713606445 36.75936963797727 48579.5
-116.60830289344231 36.759368361637975 48579.1
-116.60827864944876 36.7593671522947 48579.4
-116.60825437652151 36.7593659780655 48579.5
-116.60823004337036 36.759364803644594 48579.2
-116.60820560346758 36.75936358282654 48578.7
-116.60818106575076 36.759362249624125 48577.9
-116.60815645698892 36.75936079335125 48577.0
-116.60813179803192 36.75935921085853 48576.7
-116.608107105368 36.75935751907653 48577.2
-116.60808244278856 36.75935574410472 48577.7
-116.60805781579356 36.75935393836596 48578.3
-116.60803323593744 36.759352138476174 48579.7
-116.6080087306234 36.75935038346099 48582.0
-116.60798429207144 36.75934873052057 48582.6
-116.60795991673254 36.7593472039736 48582.4
-116.6079356105144 36.759345813337205 48582.2
-116.60791138324404 36.75934454681428 48581.7
-116.60788717591235 36.7593433882868 48581.4
