Long Lat Mag_nT
-116.61066945208172 36.75519004862716 49080.3
-116.6106927331438 36.75519186463256 49079.4
-116.61071674674876 36.75519351795378 49076.3
-116.6107415032531 36.75519486906956 49073.0
-116.61076677442992 36.75519590369986 49069.8
-116.61079239256505 36.755196613699496 49067.1
-116.61081819772608 36.75519701583164 49063.6
-116.61084415226544 36.75519710023799 49059.5
-116.61087014623816 36.7551969566951 49056.2
-116.61089610010453 36.75519663661324 49053.3
-116.61092197251364 36.75519619702178 49050.2
-116.61094772471014 36.7551956961479 49046.8
-116.6109733266377 36.755195200323605 49043.3
-116.61099875859291 36.75519474258991 49039.9
-116.6110240315844 36.755194336453634 49037.1
-116.61104912830903 36.75519398589024 49034.7
-116.6110741041096 36.7551936683028 49031.8
-116.61109899149383 36.75519337147966 49028.8
-116.61112381310836 36.75519308589996 49026.1
-116.611148585691 36.75519281756738 49023.1
-116.61117332343068 36.75519258330985 49019.8
-116.61119803075508 36.75519239056684 49016.3
-116.61122271907402 36.755192237277086 49013.7
-116.61124739027892 36.75519212030119 49010.6
-116.61127206333008 36.755192019523385 49007.1
-116.61129675699864 36.75519191346619 49003.9
-116.61132147014176 36.75519177876159 49001.3
-116.61134621396752 36.75519158859816 48998.6
-116.61137097884772 36.75519134256094 48995.2
-116.61139574154068 36.755191043729965 48992.0
-116.6114205714302 36.75519069577831 48989.1
-116.61144526878472 36.75519030254206 48986.2
-116.6114699252211 36.755189883069306 48983.0
-116.6114945403897 36.7551894459712 48979.8
-116.61151911900056 36.75518899591588 48976.9
-116.61154367325004 36.75518853985774 48973.7
-116.61156821105784 36.75518809163213 48970.3
-116.61159273857317 36.75518765597072 48966.9
-116.6116172630607 36.75518723172231 48964.2
-116.61164178403992 36.75518682080551 48961.6
-116.61166629452048 36.75518643136847 48958.3
-116.61169078629518 36.755186076158736 48954.6
-116.6117152632998 36.755185765222976 48951.1
-116.61173969860432 36.75518551643079 48947.9
-116.6117640972791 36.75518532867524 48944.6
-116.6117884673895 36.75518520670656 48941.5
-116.6118128336287 36.7551851534915 48938.5
-116.61183718828532 36.755185173412656 48934.8
-116.61186156732768 36.75518523842205 48931.2
-116.61188599585516 36.755185332123965 48928.5
-116.61191048421428 36.75518544097624 48925.4
-116.61193504252908 36.755185548450925 48921.4
-116.61195964987716 36.755185643273485 48917.7
-116.61198428791108 36.75518571438869 48914.4
-116.6120089254272 36.755185754018285 48910.8
-116.61203354653917 36.75518575082202 48906.8
-116.61205813047142 36.755185708647325 48903.4
-116.6120826663846 36.75518562809574 48900.1
-116.6121071558304 36.75518551734709 48896.4
-116.61213161978722 36.75518538857684 48892.7
-116.61215608365698 36.75518525833208 48888.9
-116.6121805687059 36.75518513698262 48885.4
-116.61220509371098 36.75518502496054 48882.2
-116.6122296789036 36.7551849122212 48878.8
-116.61225432412984 36.75518478474481 48875.3
-116.6122790279245 36.755184632792094 48871.8
-116.61230377658316 36.755184451338096 48868.1
-116.6123285763132 36.75518423701744 48864.1
-116.6123534030694 36.75518399755681 48860.4
-116.61237824878076 36.75518372886583 48856.7
-116.61240309500435 36.755183418514925 48852.4
-116.61242797237476 36.75518302689588 48848.2
-116.61245288926342 36.75518254743236 48844.6
-116.6124778480472 36.75518199147716 48841.8
-116.61250283706764 36.755181400996186 48838.2
-116.612527822944 36.75518083460642 48834.1
-116.6125527719583 36.7551803373056 48830.2
-116.61257766827372 36.75517993459785 48826.3
-116.61260252642768 36.755179633765614 48822.5
-116.61262730131683 36.75517944623932 48818.7
-116.61265202717578 36.75517933183141 48814.9
-116.61267672558334 36.75517926075542 48811.4
-116.61270141197372 36.75517920219521 48808.0
-116.612726110198 36.755179134976274 48803.8
-116.61275082216036 36.75517906996647 48799.5
-116.61277553754644 36.755179025829726 48795.7
-116.61280025576065 36.7551790155194 48792.0
-116.61282495049392 36.755179057745245 48788.4
-116.612849624656 36.75517914398337 48784.9
-116.61287428476632 36.75517926447842 48781.6
-116.61289893664753 36.755179412318526 48777.5
-116.61292356452142 36.755179592921486 48773.3
-116.61294816624672 36.75517980454892 48769.4
-116.612972739639 36.755180045147966 48765.7
-116.61299728523784 36.755180308109104 48762.3
-116.61302179807156 36.75518058212828 48758.7
-116.61304628955088 36.75518086502191 48754.7
-116.61307075498384 36.75518116632667 48751.1
-116.61309519392093 36.75518149188981 48747.8
-116.61311959631747 36.755181845846096 48744.1
-116.61314398413526 36.7551822274598 48740.6
-116.61316837078996 36.75518263845007 48736.7
-116.61319276238736 36.755183071761046 48733.0
-116.61321716298497 36.75518351161824 48730.0
-116.61324158432409 36.755183940782175 48727.0
-116.61326603811978 36.75518434624793 48723.6
-116.61329053191828 36.75518471587748 48720.2
-116.61331511078583 36.75518503563736 48716.9
-116.61333976323432 36.755185318556 48713.5
-116.61336448465708 36.75518557688307 48710.0
-116.61338927649211 36.7551858249767 48706.4
-116.61341415716356 36.75518608047378 48703.2
-116.61343911138644 36.7551863549707 48700.7
-116.61346411331208 36.755186649756965 48698.5
-116.6134890956916 36.75518695917837 48695.4
-116.61351387604068 36.75518726272681 48692.3
-116.61353825183072 36.75518752904229 48689.3
-116.61356195249138 36.75518771636392 48685.3
-116.61358460477696 36.75518776407653 48680.4
-116.61370185291769 36.75507947416566 48677.0
-116.6136985910234 36.75506270235861 48679.4
-116.613695436981 36.75504520745936 48679.7
-116.61369256162952 36.755027057783884 48679.8
-116.61369015355515 36.755008529913965 48680.2
-116.61368812249384 36.75498996294523 48680.9
-116.61368635935948 36.75497168916393 48680.7
-116.61368470644024 36.75495413454137 48678.6
-116.6135311153626 36.754869534329714 48682.2
-116.61351012110396 36.75487152592604 48706.0
-116.61348812605772 36.75487343667093 48709.1
-116.6134651779228 36.75487521266116 48712.1
-116.61344138031762 36.75487680804149 48714.6
-116.61341699204554 36.75487828250889 48717.0
-116.61339215684356 36.75487968345061 48721.1
-116.6133670217567 36.75488104854876 48725.0
-116.61334174676108 36.75488238557431 48728.8
